Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(08/04) %
2021 YTD,03/29/2022,,,,,,,,05/18/2022,,,,632.1 (YTD),
Average (1997 - 2020),03/11,04/04,04/08,04/14,04/20,04/26,05/04,05/08,06/12,26.9,13.0,35.1,1391.0,100.0%
Median (1997 - 2020),03/11,04/05,04/07,04/15,04/21,04/26,05/03,05/09,05/31,26.5,12.0,36.0,1156.8,100.0%
2020,03/30/2021,04/09/2021,04/18/2021,04/19/2021,04/22/2021,04/27/2021,05/04/2021,05/10/2021,05/18/2021,17,9,32,1202.9,100.0%
2019,03/23/2020,04/06/2020,04/06/2020,04/09/2020,04/16/2020,04/24/2020,05/01/2020,05/08/2020,05/15/2020,26,16,33,1902.2,100.0%
2018,03/04/2019,04/05/2019,04/08/2019,04/12/2019,04/19/2019,04/23/2019,05/09/2019,05/10/2019,05/24/2019,32,12,36,2106.5,100.0%
2017,03/27/2018,04/10/2018,04/12/2018,04/15/2018,04/19/2018,04/23/2018,04/27/2018,04/29/2018,05/27/2018,16,9,20,1218,100.0%
2016,02/22/2017,04/02/2017,04/05/2017,04/11/2017,04/18/2017,05/03/2017,05/08/2017,05/15/2017,07/14/2017,34,23,44,3871.9,100.0%
2015,03/16/2016,04/04/2016,04/06/2016,04/08/2016,04/18/2016,04/22/2016,04/29/2016,05/02/2016,05/31/2016,24,15,29,669.2,100.0%
2014,02/17/2015,03/30/2015,04/01/2015,04/06/2015,04/10/2015,04/20/2015,04/24/2015,04/27/2015,05/11/2015,24,15,29,1110.7,100.0%
2013,03/07/2014,03/28/2014,03/31/2014,04/04/2014,04/09/2014,04/21/2014,05/05/2014,05/08/2014,05/22/2014,36,18,42,1311,100.0%
2012,03/29/2013,04/08/2013,04/12/2013,04/22/2013,04/26/2013,05/03/2013,05/15/2013,05/17/2013,05/31/2013,34,12,40,601,100.0%
2011,03/23/2012,04/06/2012,04/13/2012,04/23/2012,04/27/2012,04/30/2012,05/11/2012,05/14/2012,05/18/2012,29,8,39,840,100.0%
2010,02/18/2011,04/13/2011,04/18/2011,04/20/2011,04/22/2011,04/29/2011,05/06/2011,05/11/2011,06/06/2011,19,10,29,593,100.0%
2009,03/29/2010,04/09/2010,04/16/2010,04/19/2010,04/21/2010,04/28/2010,05/14/2010,05/14/2010,08/16/2010,29,10,36,774.7,99.9%
2008,03/25/2009,04/08/2009,04/10/2009,04/15/2009,04/20/2009,05/01/2009,05/09/2009,05/11/2009,05/18/2009,30,17,34,265.2,100.0%
2007,04/03/2008,04/07/2008,04/14/2008,04/21/2008,04/24/2008,04/28/2008,05/05/2008,05/08/2008,05/30/2008,22,8,32,126.5,100.0%
2006,03/24/2007,04/09/2007,04/13/2007,04/18/2007,04/24/2007,04/27/2007,04/30/2007,05/01/2007,05/20/2007,18,10,23,811.2,100.0%
2005,03/03/2006,04/05/2006,04/14/2006,04/24/2006,04/28/2006,05/03/2006,05/08/2006,05/10/2006,06/05/2006,25,10,36,1724,100.0%
2004,03/09/2005,03/31/2005,04/06/2005,04/16/2005,04/23/2005,04/26/2005,04/29/2005,05/09/2005,06/05/2005,24,11,40,1758,100.0%
2003,02/27/2004,03/24/2004,03/26/2004,04/05/2004,04/21/2004,04/27/2004,04/30/2004,05/03/2004,06/09/2004,36,23,41,614.6,100.0%
2002,03/07/2003,03/28/2003,04/02/2003,04/18/2003,04/24/2003,04/25/2003,04/29/2003,05/02/2003,09/26/2003,28,8,36,2353.4,100.0%
2001,03/13/2002,04/05/2002,04/07/2002,04/11/2002,04/18/2002,04/25/2002,05/01/2002,05/05/2002,09/25/2002,25,15,31,656.6,99.8%
2000,03/16/2001,04/09/2001,04/13/2001,04/18/2001,04/21/2001,04/25/2001,04/29/2001,05/06/2001,05/20/2001,17,8,28,512,100.0%
1999,02/26/2000,03/30/2000,03/31/2000,04/04/2000,04/11/2000,04/20/2000,04/26/2000,05/07/2000,06/06/2000,27,17,39,2931.3,100.0%
1998,01/26/1999,04/01/1999,04/03/1999,04/09/1999,04/14/1999,04/20/1999,05/02/1999,05/09/1999,06/09/1999,30,12,39,1518,100.0%
1997,03/06/1998,03/30/1998,04/03/1998,04/16/1998,04/22/1998,05/01/1998,05/16/1998,05/23/1998,06/17/1998,44,16,55,3911.8,100.0%
