Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(08/04) %
2021 YTD,12/26/2021,,,,,,,,05/16/2022,,,,99 (YTD),
Average (1997 - 2020),01/01,02/09,02/24,03/17,04/10,04/19,04/24,04/27,05/12,60.6,34.8,77.7,468.5,100.0%
Median (1997 - 2020),12/14,02/15,03/03,03/28,04/11,04/20,04/24,04/27,05/10,51.0,23.0,67.0,378.2,100.0%
2020,02/04/2021,02/25/2021,03/29/2021,04/11/2021,04/12/2021,04/22/2021,04/29/2021,04/29/2021,04/29/2021,32,12,64,88.9,100.0%
2019,12/12/2019,03/31/2020,04/02/2020,04/05/2020,04/06/2020,04/10/2020,04/16/2020,04/20/2020,05/10/2020,15,6,21,676,100.0%
2018,12/03/2018,02/04/2019,03/03/2019,03/29/2019,04/09/2019,04/21/2019,04/23/2019,04/26/2019,05/09/2019,52,24,82,492.4,100.0%
2017,02/15/2018,03/04/2018,03/15/2018,03/24/2018,04/11/2018,04/16/2018,04/20/2018,04/27/2018,05/11/2018,37,24,55,149.1,100.0%
2016,11/23/2016,03/28/2017,03/31/2017,04/05/2017,04/12/2017,05/01/2017,05/05/2017,05/07/2017,06/21/2017,36,27,41,2777.4,100.0%
2015,01/11/2016,03/21/2016,03/28/2016,04/01/2016,04/11/2016,04/15/2016,04/15/2016,04/18/2016,05/06/2016,19,15,29,206.7,100.0%
2014,12/05/2014,12/08/2014,12/15/2014,12/24/2014,03/27/2015,04/17/2015,04/27/2015,04/29/2015,04/29/2015,135,116,144,66,100.0%
2013,02/11/2014,02/15/2014,02/22/2014,03/07/2014,04/07/2014,04/11/2014,04/14/2014,04/18/2014,05/13/2014,52,36,63,753,100.0%
2012,12/03/2012,04/01/2013,04/01/2013,04/10/2013,04/17/2013,04/19/2013,04/19/2013,04/22/2013,05/07/2013,19,10,22,413.3,100.0%
2011,01/25/2012,03/16/2012,03/16/2012,03/28/2012,03/30/2012,04/16/2012,04/25/2012,04/25/2012,05/03/2012,41,20,41,273,100.0%
2010,12/08/2010,12/20/2010,12/23/2010,04/15/2011,04/20/2011,04/22/2011,04/25/2011,04/27/2011,05/10/2011,125,8,130,450.9,100.0%
2009,02/03/2010,03/01/2010,04/09/2010,04/16/2010,04/16/2010,04/23/2010,04/30/2010,04/30/2010,05/11/2010,22,8,61,172.4,100.0%
2008,02/23/2009,04/03/2009,04/08/2009,04/15/2009,04/17/2009,04/24/2009,05/05/2009,05/07/2009,05/07/2009,28,10,35,135.8,100.0%
2007,01/07/2008,01/07/2008,01/11/2008,02/25/2008,04/14/2008,04/21/2008,05/02/2008,05/02/2008,05/02/2008,113,57,117,68.8,100.0%
2006,02/07/2007,02/14/2007,02/14/2007,03/05/2007,04/11/2007,04/17/2007,04/27/2007,04/30/2007,05/14/2007,73,44,76,112.8,100.0%
2005,12/05/2005,12/23/2005,01/17/2006,02/06/2006,04/07/2006,04/28/2006,05/01/2006,05/03/2006,05/12/2006,105,82,133,608.3,100.0%
2004,12/10/2004,02/22/2005,03/04/2005,04/01/2005,04/20/2005,04/22/2005,04/22/2005,04/27/2005,05/19/2005,50,22,65,540.9,100.0%
2003,12/10/2003,12/17/2003,12/26/2003,01/07/2004,04/12/2004,04/23/2004,04/23/2004,04/28/2004,05/13/2004,121,108,135,366.5,100.0%
2002,12/16/2002,12/27/2002,02/12/2003,03/19/2003,04/11/2003,04/23/2003,04/25/2003,04/25/2003,05/15/2003,73,36,121,1017.1,100.0%
2001,11/26/2001,12/17/2001,01/10/2002,03/07/2002,04/05/2002,04/22/2002,04/26/2002,04/26/2002,05/02/2002,107,47,132,168.5,100.0%
2000,02/16/2001,02/16/2001,02/16/2001,02/16/2001,04/09/2001,04/18/2001,04/23/2001,04/25/2001,05/04/2001,67,62,69,105.3,100.0%
1999,01/18/2000,02/11/2000,03/13/2000,03/27/2000,04/03/2000,04/17/2000,04/19/2000,04/19/2000,05/31/2000,38,22,69,512.1,100.0%
1998,11/30/1998,01/21/1999,02/26/1999,04/02/1999,04/10/1999,04/19/1999,04/24/1999,04/27/1999,05/05/1999,58,18,97,389.8,100.0%
1997,11/25/1997,02/25/1998,03/18/1998,03/25/1998,04/03/1998,04/15/1998,04/22/1998,04/27/1998,06/05/1998,36,22,62,699.1,100.0%
